timeHMS,emotion_level,subject
5:36,3,A
6:08,3,B
6:14,3,A
6:25,2,B
6:35,3,D
6:45,3,A
6:58,4,B
8:10,3,D
8:30,2,B
9:00,3,A
9:16,0,B
9:29,2,A
9:39,4,B
9:53,1,B
9:57,3,B
10:09,1,D
10:39,3,B
10:57,4,A
11:08,0,D
11:10,0,A
11:18,3,B
11:57,1,B
12:07,2,B
12:11,0,A
12:25,3,A
13:00,0,A
13:16,2,A
13:21,2,B
13:24,3,A
13:40,1,B
13:49,2,B
13:56,0,A
14:03,1,D
14:07,4,A
14:52,3,A
15:07,0,A
15:32,2,B
15:46,1,A
15:51,1,B
16:06,2,A
16:20,0,A
16:23,4,B
16:48,2,B
16:57,3,B
17:40,2,A
17:44,2,B
17:57,3,B
18:07,3,D
18:17,3,D
18:21,0,B
19:25,3,B
19:44,2,B
20:10,1,A
