timeHMS,emotion_level,subject
00:03:38,4,B
00:03:55,3,A
00:04:15,2,C
00:04:30,3,A
00:04:37,2,B
00:04:55,4,A
00:05:22,3,C
00:05:48,1,B
00:06:05,3,A
00:06:36,4,B
00:06:48,2,C
00:07:10,2,B
00:07:32,4,C
00:08:14,4,B
00:08:46,2,A
00:09:00,4,B
00:09:22,-1,C
00:09:38,1,A
00:10:10,3,B
00:10:30,3,C
00:10:48,4,B
00:11:00,2,A
00:11:50,0,C
00:12:00,4,B
00:12:38,2,B
00:12:58,2,A
00:13:12,4,B
00:13:37,4,A
00:14:00,3,B
00:14:25,4,B
00:14:44,2,C
00:14:55,4,B
00:15:48,3,C
00:16:25,3,B
00:16:37,3,B
00:16:56,-1,C
00:17:28,3,A
00:17:53,0,B
